Date,Open*,High,Low,Close**,Volume,Market Cap
1/24/2023,$0.03,$0.03,$0.03,$0.03,"$55,752,758","$346,644,544"
1/23/2023,$0.03,$0.03,$0.03,$0.03,"$17,946,984","$345,980,038"
1/22/2023,$0.03,$0.03,$0.03,$0.03,"$17,321,656","$341,405,062"
1/21/2023,$0.03,$0.03,$0.03,$0.03,"$32,438,262","$349,520,368"
1/20/2023,$0.03,$0.03,$0.03,$0.03,"$91,984,683","$364,050,729"
1/19/2023,$0.02,$0.03,$0.02,$0.03,"$78,551,517","$316,765,626"
1/18/2023,$0.02,$0.02,$0.02,$0.02,"$16,067,432","$272,047,564"
1/17/2023,$0.02,$0.03,$0.02,$0.02,"$9,367,451","$294,763,084"
1/16/2023,$0.03,$0.03,$0.02,$0.02,"$15,040,270","$298,996,222"
1/15/2023,$0.03,$0.03,$0.02,$0.03,"$12,935,886","$303,395,447"
1/14/2023,$0.02,$0.03,$0.02,$0.03,"$25,943,684","$305,309,222"
1/13/2023,$0.02,$0.02,$0.02,$0.02,"$12,113,250","$284,841,311"
1/12/2023,$0.02,$0.02,$0.02,$0.02,"$12,515,540","$269,831,587"
1/11/2023,$0.02,$0.02,$0.02,$0.02,"$9,014,891","$263,350,728"
1/10/2023,$0.02,$0.02,$0.02,$0.02,"$9,893,512","$262,575,320"
1/9/2023,$0.02,$0.02,$0.02,$0.02,"$12,031,622","$257,675,970"
1/8/2023,$0.02,$0.02,$0.02,$0.02,"$7,939,094","$250,751,290"
1/7/2023,$0.02,$0.02,$0.02,$0.02,"$4,908,895","$242,302,572"
1/6/2023,$0.02,$0.02,$0.02,$0.02,"$8,435,061","$244,697,326"
1/5/2023,$0.02,$0.02,$0.02,$0.02,"$7,951,286","$238,051,866"
1/4/2023,$0.02,$0.02,$0.02,$0.02,"$12,479,505","$241,197,440"
1/3/2023,$0.02,$0.02,$0.02,$0.02,"$6,583,513","$232,176,469"
1/2/2023,$0.02,$0.02,$0.02,$0.02,"$8,617,454","$231,859,263"
1/1/2023,$0.02,$0.02,$0.02,$0.02,"$13,891,290","$231,811,484"
12/31/2022,$0.02,$0.02,$0.02,$0.02,"$4,410,894","$222,956,337"
12/30/2022,$0.02,$0.02,$0.02,$0.02,"$5,941,149","$220,320,617"
12/29/2022,$0.02,$0.02,$0.02,$0.02,"$5,505,611","$223,984,125"
12/28/2022,$0.02,$0.02,$0.02,$0.02,"$6,135,463","$222,246,926"
12/27/2022,$0.02,$0.02,$0.02,$0.02,"$4,559,205","$231,290,538"
12/26/2022,$0.02,$0.02,$0.02,$0.02,"$3,584,942","$237,117,978"
12/25/2022,$0.02,$0.02,$0.02,$0.02,"$3,615,646","$238,052,906"
12/24/2022,$0.02,$0.02,$0.02,$0.02,"$3,612,807","$238,709,685"
12/23/2022,$0.02,$0.02,$0.02,$0.02,"$4,544,337","$241,709,887"
12/22/2022,$0.02,$0.02,$0.02,$0.02,"$4,796,545","$243,172,537"
12/21/2022,$0.02,$0.02,$0.02,$0.02,"$6,338,639","$243,038,250"
12/20/2022,$0.02,$0.02,$0.02,$0.02,"$6,355,845","$243,562,175"
12/19/2022,$0.02,$0.02,$0.02,$0.02,"$6,330,928","$228,391,275"
12/18/2022,$0.02,$0.02,$0.02,$0.02,"$4,024,149","$239,159,773"
12/17/2022,$0.02,$0.02,$0.02,$0.02,"$5,815,767","$238,031,394"
12/16/2022,$0.02,$0.02,$0.02,$0.02,"$8,960,880","$230,386,814"
12/15/2022,$0.02,$0.02,$0.02,$0.02,"$5,795,661","$256,175,360"
12/14/2022,$0.02,$0.02,$0.02,$0.02,"$7,097,819","$261,854,549"
12/13/2022,$0.02,$0.02,$0.02,$0.02,"$9,398,762","$264,197,083"
